ZIP,household_count,City/Town,County,Population
98845,73,Palisades,Douglas County,199
98846,585,Pateros,Okanogan County,1381
98847,1099,Peshastin,Chelan County,2481
98848,5476,Quincy,Grant County,12959
98849,637,Riverside,Okanogan County,1098
98850,680,Rock Island,Douglas County,1749
98851,2078,Soap Lake,Grant County,5196
98852,137,Stehekin,Chelan County,32
98853,14,Stratford,Grant County,0
98855,3120,Tonasket,Okanogan County,5806
98856,1544,Twisp,Okanogan County,2497
98857,1355,Warden,Grant County,3545
98858,853,Waterville,Douglas County,1850
98859,214,Wauconda,Okanogan County,353
98860,136,Wilson Creek,Grant County,229
98862,2227,Winthrop,Okanogan County,3075
98901,12201,Yakima,Yakima County,33106
98902,17723,Yakima,Yakima County,45929
98903,6541,Yakima,Yakima County,17590
98908,15496,Yakima,Yakima County,38671
98921,7,Buena,Yakima County,0
98922,5445,Cle Elum,Kittitas County,7577
98923,609,Cowiche,Yakima County,990
98925,797,Easton,Kittitas County,533
98926,14900,Ellensburg,Kittitas County,32327
98930,4910,Grandview,Yakima County,15089
98932,1502,Granger,Yakima County,4868
98933,415,Harrah,Yakima County,1195
98934,511,Kittitas,Kittitas County,1033
98935,1191,Mabton,Yakima County,4378
98936,2782,Moxee,Yakima County,7787
98937,2525,Naches,Yakima County,4598
98938,567,Outlook,Yakima County,1946
98939,29,Parker,Yakima County,90
98940,1054,Ronald,Kittitas County,409
98941,641,Roslyn,Kittitas County,827
98942,7629,Selah,Yakima County,18047
98943,348,South Cle Elum,Kittitas County,715
98944,6806,Sunnyside,Benton County,25176
98946,147,Thorp,Kittitas County,363
98947,1006,Tieton,Yakima County,2786
98948,3620,Toppenish,Yakima County,13015
98950,34,Vantage,Kittitas County,54
98951,3672,Wapato,Yakima County,13145
98952,547,White Swan,Yakima County,1724
98953,2343,Zillah,Yakima County,7043
99001,2739,Airway Heights,Spokane County,8684
99003,2115,Chattaroy,Spokane County,4413
99004,8992,Cheney,Spokane County,22210
99005,3656,Colbert,Spokane County,10457
99006,5287,Deer Park,Spokane County,13888
99008,162,Edwall,Lincoln County,439
99009,1879,Elk,Spokane County,4868
99011,808,Fairchild Air Force Base,Spokane County,3184
99012,369,Fairfield,Spokane County,1111
99013,593,Ford,Stevens County,1507
99014,15,Four Lakes,Spokane County,0
99016,8004,Greenacres,Spokane County,19620
99017,106,Lamont,Whitman County,226
99018,140,Latah,Spokane County,264
99019,5202,Liberty Lake,Spokane County,12245
99020,7,Marshall,Spokane County,15
99021,3679,Mead,Spokane County,10058
99022,3564,Medical Lake,Spokane County,9012
99023,288,Mica,Spokane County,964
99025,2328,Newman Lake,Spokane County,5668
99026,3623,Nine Mile Falls,Spokane County,8828
99027,2734,Otis Orchards,Spokane County,5973
99029,653,Reardan,Lincoln County,1747
99030,337,Rockford,Spokane County,592
99031,510,Spangle,Spokane County,1110
99032,443,Sprague,Lincoln County,982
99033,433,Tekoa,Whitman County,790
99034,142,Tumtum,Stevens County,215
