ZIP,Household Count,City/Town,County,Population,,,,,,,
94066,"43,369",San Bruno,San Mateo County,"43,369",,,,,,,
94121,"43,304",San Francisco,San Francisco County,"43,304",,,,,,,
92308,"43,191",Apple Valley,San Bernardino County,"43,191",,,,,,,
95765,"43,059",Rocklin,Placer County,"43,059",,,,,,,
91350,"42,970",Santa Clarita,Los Angeles County,"42,970",,,,,,,
91733,"42,953",South El Monte,Los Angeles County,"42,953",,,,,,,
90815,"42,759",Long Beach,Los Angeles County,"42,759",,,,,,,
95210,"42,654",Stockton,San Joaquin County,"42,654",,,,,,,
90278,"42,536",Redondo Beach,Los Angeles County,"42,536",,,,,,,
90501,"42,536",Torrance,Los Angeles County,"42,536",,,,,,,
93534,"42,515",Lancaster,Los Angeles County,"42,515",,,,,,,
92236,"42,506",Coachella,Riverside County,"42,506",,,,,,,
91360,"42,444",Thousand Oaks,Ventura County,"42,444",,,,,,,
95926,"42,362",Chico,Butte County,"42,362",,,,,,,
94578,"42,350",San Leandro,Alameda County,"42,350",,,,,,,
95407,"42,138",Santa Rosa,Sonoma County,"42,138",,,,,,,
95621,"42,089",Citrus Heights,Sacramento County,"42,089",,,,,,,
90275,"41,941",Rancho Palos Verdes,Los Angeles County,"41,941",,,,,,,
91016,"41,822",Monrovia,Los Angeles County,"41,822",,,,,,,
90242,"41,685",Downey,Los Angeles County,"41,685",,,,,,,
95301,"41,660",Atwater,Merced County,"41,660",,,,,,,
92821,"41,604",Brea,Orange County,"41,604",,,,,,,
93706,"41,523",Fresno,Fresno County,"41,523",,,,,,,
90605,"41,427",Whittier,Los Angeles County,"41,427",,,,,,,
94534,"41,395",Fairfield,Solano County,"41,395",,,,,,,
91789,"41,377",Walnut,Los Angeles County,"41,377",,,,,,,
93637,"41,324",Madera,Madera County,"41,324",,,,,,,
91739,"41,319",Rancho Cucamonga,San Bernardino County,"41,319",,,,,,,
95838,"41,311",Sacramento,Sacramento County,"41,311",,,,,,,
90045,"41,123",Los Angeles,Los Angeles County,"41,123",,,,,,,
93454,"41,110",Santa Maria,Santa Barbara County,"41,110",,,,,,,
94521,"41,092",Concord,Contra Costa County,"41,092",,,,,,,
92591,"41,047",Temecula,Riverside County,"41,047",,,,,,,
94025,"41,017",Menlo Park,San Mateo County,"41,017",,,,,,,
90007,"41,004",Los Angeles,Los Angeles County,"41,004",,,,,,,
91942,"40,995",La Mesa,San Diego County,"40,995",,,,,,,
95132,"40,981",San Jose,Santa Clara County,"40,981",,,,,,,
95835,"40,957",Sacramento,Sacramento County,"40,957",,,,,,,
92806,"40,945",Anaheim,Orange County,"40,945",,,,,,,
94901,"40,927",San Rafael,Marin County,"40,927",,,,,,,
95833,"40,908",Sacramento,Sacramento County,"40,908",,,,,,,
92240,"40,755",Desert Hot Springs,Riverside County,"40,755",,,,,,,
94134,"40,738",San Francisco,San Francisco County,"40,738",,,,,,,
90806,"40,688",Long Beach,Los Angeles County,"40,688",,,,,,,
92307,"40,534",Apple Valley,San Bernardino County,"40,534",,,,,,,
95826,"40,205",Sacramento,Sacramento County,"40,205",,,,,,,
91311,"40,196",Chatsworth,Los Angeles County,"40,196",,,,,,,
95688,"40,147",Vacaville,Solano County,"40,147",,,,,,,
95205,"40,128",Stockton,San Joaquin County,"40,128",,,,,,,
94118,"40,108",San Francisco,San Francisco County,"40,108",,,,,,,
92102,"40,051",San Diego,San Diego County,"40,051",,,,,,,
94551,"40,025",Livermore,Alameda County,"40,025",,,,,,,
90802,"40,012",Long Beach,Los Angeles County,"40,012",,,,,,,
93711,"39,963",Fresno,Fresno County,"39,963",,,,,,,
95691,"39,961",West Sacramento,Yolo County,"39,961",,,,,,,
92394,"39,939",Victorville,San Bernardino County,"39,939",,,,,,,
95050,"39,905",Santa Clara,Santa Clara County,"39,905",,,,,,,
95695,"39,892",Woodland,Yolo County,"39,892",,,,,,,
95129,"39,797",San Jose,Santa Clara County,"39,797",,,,,,,
90604,"39,795",Whittier,Los Angeles County,"39,795",,,,,,,
94611,"39,780",Oakland,Alameda County,"39,780",,,,,,,
94583,"39,758",San Ramon,Contra Costa County,"39,758",,,,,,,
90808,"39,698",Long Beach,Los Angeles County,"39,698",,,,,,,
94117,"39,496",San Francisco,San Francisco County,"39,496",,,,,,,
90059,"39,471",Los Angeles,Los Angeles County,"39,471",,,,,,,
91701,"39,323",Rancho Cucamonga,San Bernardino County,"39,323",,,,,,,
91401,"39,179",Van Nuys,Los Angeles County,"39,179",,,,,,,
93705,"38,777",Fresno,Fresno County,"38,777",,,,,,,
95382,"38,727",Turlock,Stanislaus County,"38,727",,,,,,,
92231,"38,674",Calexico,Imperial County,"38,674",,,,,,,
